Quantity Sold (units),Product Category,Month,Average Temperature (¡C),Monthly Precipitation (mm),Route (ID),Route Distance (km),Average Transit Time (hrs),Cost per Kilometer ($),Traffic Conditions
513,Fresh,1,28.03,52.72,10,30.65,1.89,9.88,Low
578,Refrigerated,1,20.42,35.53,7,10.11,2.8,8.72,Moderate
469,Fresh,1,24.08,66.58,10,44.18,3.23,8.21,Moderate
589,Fresh,1,31.67,83.99,2,49.98,3.16,12.34,High
499,Fresh,1,24.91,96.92,10,46.43,1.17,10.35,Low
509,Fresh,1,15.4,26.12,10,48.79,1.73,12.71,Moderate
553,Fresh,1,33.63,38.92,5,46.51,3.28,13.97,Moderate
486,Fresh,1,31.07,95.53,9,42.9,4.87,10.15,Moderate
479,Fresh,1,25.02,4.23,6,13.24,1.78,10.24,Low
539,Fresh,1,32.05,94.16,9,17.55,3.11,13.98,Low
545,Refrigerated,1,32.44,65.18,5,23.89,1.95,12.95,Moderate
577,Fresh,1,21.41,21.73,7,25.74,3.89,11.23,High
564,Fresh,1,24.9,49.09,9,42.57,4.37,8.59,Moderate
478,Fresh,1,27.09,5.22,3,21.9,4.02,9.03,Moderate
568,Refrigerated,1,24.95,42.73,7,19.65,1.02,12.69,Low
523,Fresh,1,27.25,20.9,1,11.54,2.1,10.83,Low
526,Refrigerated,1,18.89,15.61,8,28.84,2.59,8.63,High
451,Fresh,1,21.02,72.54,8,44.16,4.8,14.59,Moderate
506,Fresh,1,33.35,72.34,4,45.54,1.14,9.26,Moderate
563,Refrigerated,1,20.28,32.07,8,49.89,2.29,9.5,Low
599,Refrigerated,1,19.66,86.86,1,44.87,1.51,12.93,Moderate
471,Fresh,1,17.24,83.38,7,23.77,2.42,9.98,Low
476,Refrigerated,1,26.45,46.58,6,9.49,3.06,13.68,Low
555,Fresh,1,30.89,74.7,5,32.71,1.62,12.36,Moderate
543,Fresh,1,31.3,8.71,6,9.02,2.33,14.16,Moderate
512,Fresh,1,26.76,6.96,7,43.56,4.81,14.5,Moderate
543,Refrigerated,1,29.77,93.38,4,38.03,2.67,11.37,Moderate
592,Fresh,1,33.4,64,5,8.41,1.8,13.83,Moderate
592,Fresh,1,21.6,38.57,6,14.07,1.18,11.42,High
483,Refrigerated,1,25.52,61.9,1,33.62,3.01,11.6,Moderate
514,Refrigerated,1,17.1,3.74,6,49.2,2.41,14.7,Moderate
568,Refrigerated,1,32.01,3.83,7,13.1,4.89,10.89,Low
578,Fresh,1,16.92,7.48,3,16.27,1.74,14.61,High
531,Refrigerated,1,24.66,73.78,4,45.35,3.28,8.08,Moderate
497,Refrigerated,1,22.31,61.93,2,37.33,2.33,8.56,High
491,Fresh,1,17.66,83.49,5,21.89,1.91,10.59,High
502,Fresh,1,33.61,97.94,8,33.64,1.8,14.93,Moderate
580,Refrigerated,1,27.89,81.2,1,21.3,3.3,13.81,Low
580,Fresh,1,15.35,67.31,7,38.32,3.21,8.48,Low
469,Fresh,1,15.51,72.73,10,17.97,4.16,14.01,Low
519,Fresh,1,28.65,40.22,6,30.28,2.03,10.24,Moderate
539,Fresh,1,15.91,31.33,4,40.81,4.06,13.06,Low
564,Refrigerated,1,22.65,54.33,7,10.25,1.87,14.71,Low
598,Fresh,1,29.59,75.6,5,7.32,2.71,8.06,Moderate
496,Fresh,1,23.23,66.11,7,32.41,3.48,13.23,Moderate
484,Refrigerated,1,25.74,10.7,10,44.52,4.2,9.16,Low
541,Refrigerated,1,28.97,54.94,3,23.16,3.04,8.91,High
593,Refrigerated,1,20.32,42.99,9,26.01,1.06,9.9,Moderate
473,Fresh,1,26.01,34.21,1,33.2,2.34,10.84,Low
478,Fresh,1,25.35,40.26,10,40.63,1.76,8.53,Low
497,Fresh,1,15.89,49.93,5,49.13,2.8,13.71,Low
502,Fresh,1,20.59,23.3,6,34.53,4.69,12.79,Moderate
516,Fresh,1,19.04,80.51,7,48.91,2.63,8.5,Low
587,Refrigerated,1,20.91,26.99,7,8.7,4.16,8.52,Low
533,Refrigerated,1,22.85,24.35,6,35.99,4.53,13.71,Moderate
553,Fresh,1,28.21,24.04,8,10.18,1.26,12.72,High
565,Fresh,1,27.02,16.19,4,16.35,1.53,10.07,Low
571,Refrigerated,1,17.35,87.93,10,46.9,1.41,8.91,Low
501,Fresh,1,33.39,33.84,7,24.14,3.06,13.88,Low
591,Fresh,1,25.42,24.43,4,26.75,3.11,10.31,Moderate
548,Fresh,1,28.91,99.24,2,44.27,2.26,10.86,Low
454,Fresh,1,34.43,47.35,4,14.63,3.73,12.22,Moderate
510,Fresh,1,24.75,76.82,8,25.1,3.97,13.83,Low
584,Fresh,1,22.72,39.6,9,20.31,1.26,13.17,High
598,Fresh,1,20.91,2.72,5,34.24,1.46,14.3,Low
553,Fresh,1,27.01,30.37,8,11.21,1.28,9.29,Low
527,Fresh,1,23.52,3.16,10,9.62,1.13,8.74,Low
576,Fresh,1,28.11,52.16,9,47.07,1.15,11.37,Moderate
468,Fresh,1,32.49,75.07,5,22.34,2.12,8.08,Low
588,Refrigerated,1,24.4,96.59,7,40.37,1.31,10.44,Low
538,Fresh,1,28.63,32.53,3,19.96,1.49,9.83,Moderate
510,Fresh,1,31.27,83.28,5,33.94,4.91,8.08,Low
493,Fresh,1,29.76,62.4,10,12.22,2.47,10.11,High
483,Fresh,1,34.93,35.87,10,9.82,1.21,11.48,Low
516,Fresh,1,19.18,95.94,8,36.36,4.72,10.1,Low
450,Fresh,1,28.6,41.06,4,26.91,3.99,9.34,Moderate
494,Fresh,1,31.19,58.28,1,32.86,3.35,12.39,Moderate
582,Refrigerated,1,33.16,89.88,5,42.74,2.94,12.01,Low
498,Fresh,1,30.24,82.21,6,35.24,3.62,8.49,Moderate
502,Fresh,1,17.99,30.81,8,30.95,2.71,10.47,Low
509,Refrigerated,1,16.76,2.6,2,10.17,1.87,13.45,Moderate
505,Fresh,1,20,35.79,9,48.84,1.74,12.42,Moderate
508,Fresh,1,34.4,66.52,8,40.94,3.63,10.47,Low
583,Fresh,1,17.76,94.18,2,14.12,2.23,14.92,Low
558,Refrigerated,1,30.49,95.11,3,44.45,1.67,13.67,Moderate
545,Refrigerated,1,31.98,25.65,3,23.77,4.29,12.73,Low
477,Fresh,1,28.57,79.38,5,6.59,3.13,14.51,Moderate
500,Fresh,1,16.09,16.43,8,44.5,1.84,9.83,Low
452,Refrigerated,1,32.35,33.55,4,10.89,3.33,9.95,High
565,Refrigerated,1,23.33,12.57,8,15.19,2.06,8.93,Low
468,Fresh,1,27.93,7.84,8,9.2,2.53,11.46,Low
597,Refrigerated,1,34.32,47.32,8,14.37,1.48,9.37,Moderate
562,Fresh,1,29.9,72.87,4,30.8,4.53,11.36,Low
485,Refrigerated,1,33.6,77.81,8,48.49,4.64,10.03,Moderate
554,Refrigerated,1,23.56,57.97,7,25.57,1.6,11.41,High
545,Refrigerated,1,25.97,53.85,9,12.46,4.4,8.94,Low
529,Refrigerated,1,26.24,7.27,8,23.34,1.28,9.86,Low
489,Refrigerated,1,30.99,28.4,9,40.53,3.12,9.98,Low
503,Refrigerated,1,27.14,15.61,8,21.97,3.26,9.54,Low
564,Fresh,1,32.98,38.91,10,28.55,1.59,9.29,High
589,Fresh,1,23.39,17.49,3,43.52,3.19,12.7,Moderate
555,Refrigerated,1,17.82,0.84,1,8.37,3.3,11.04,Moderate
593,Refrigerated,1,31.55,95.57,9,31.25,3.06,10.37,High
492,Fresh,1,19.57,7.15,1,12.49,1.22,13.62,Low
598,Fresh,1,30.65,62.66,3,40.74,3.95,8.33,Moderate
461,Fresh,1,20.18,71.23,4,13.97,2,12.18,Low
486,Fresh,1,21.37,48.92,9,18.33,3.97,12.69,Moderate
459,Fresh,1,15.43,46.72,10,28.6,1.96,10.59,Low
469,Fresh,1,34.33,10.67,2,45,4.95,14.06,Low
510,Refrigerated,1,33.35,60.89,8,27.83,2.76,9.3,Moderate
500,Refrigerated,1,22.13,65.25,9,27.3,3,9.67,Low
542,Fresh,1,21.73,45.76,4,15.79,2.88,12.5,Moderate
494,Refrigerated,1,18.17,99.1,1,29.31,4.53,9.77,High
595,Fresh,1,16.91,72.98,5,40.63,3.46,14.88,Moderate
482,Fresh,1,26.26,20.73,9,34.13,4.16,12.58,Moderate
587,Fresh,1,16.63,29.39,9,15.24,2.49,8.52,Low
498,Fresh,1,32.99,11.44,6,47.55,1.71,8.29,High
467,Fresh,1,18.54,80.15,9,36.66,4.23,12.19,Low
549,Fresh,1,15.83,60.04,7,42.58,1.14,8.93,Low
500,Fresh,1,25.07,54.02,3,12.87,2.96,11.07,Low
507,Fresh,1,24.63,20.5,3,22.79,1.03,11.65,Moderate
477,Refrigerated,1,30.61,63.67,9,44.8,2.24,8.83,Low
533,Fresh,1,24.87,37.13,4,25.97,4.08,13.43,Moderate
546,Refrigerated,1,19.08,81.9,4,6.43,3.26,12.77,Moderate
597,Refrigerated,1,33.79,52.58,7,25.64,3.87,12.12,Moderate
480,Refrigerated,1,22.73,67.5,10,38.55,4.5,8.96,Low
580,Fresh,1,21.57,13.84,5,5.2,1.28,9.81,High
573,Refrigerated,1,32.78,38.09,3,7.59,2.82,11.73,High
556,Fresh,1,26.88,37.92,3,35.56,4.59,10.42,Moderate
481,Refrigerated,1,24.29,54.42,4,45.52,1.2,13.21,Low
485,Fresh,1,16.88,48.2,5,21.31,1.72,10.08,High
495,Fresh,1,20.81,30.86,10,45.38,2.18,10.22,High
577,Fresh,1,27.2,81.7,6,38.35,4.15,10.36,Moderate
464,Fresh,1,19.15,7.58,6,26.85,4.51,12.63,Moderate
493,Refrigerated,1,25.97,19.45,2,23.44,1.85,13.81,Low
461,Refrigerated,1,18.5,3.25,7,42.74,2.57,8.12,Low
544,Fresh,1,34.84,3.79,8,22.59,4.81,12.2,Moderate
580,Fresh,1,25.98,84.31,1,46.16,2.63,12.16,Moderate
569,Fresh,1,22.38,75.74,4,19.27,1.62,8.97,Moderate
462,Refrigerated,1,22.03,2.59,2,24.47,2.31,10.31,Low
598,Fresh,1,29.83,41.35,3,16.39,2.12,10.49,Moderate
469,Refrigerated,1,21.05,57.9,6,12.69,4.9,13.73,Moderate
519,Refrigerated,1,27.18,13.38,6,7.36,2.18,14.76,High
478,Fresh,1,30.67,93.24,7,42.71,2.6,8.12,Low
478,Refrigerated,1,19.98,19.8,9,19.7,4.28,8.11,Moderate
510,Fresh,1,27.32,21.47,3,17.03,2.65,8.5,Low
544,Refrigerated,1,17.63,39.36,7,25.43,2.51,10.07,Moderate
494,Fresh,1,20.54,6.37,3,49.82,2.35,9.91,Moderate
450,Fresh,1,33.54,0.4,8,26.74,4.87,11.93,Low
454,Fresh,1,31.13,15.33,7,28.73,1.24,9.73,Moderate
558,Fresh,1,21.75,81.48,7,47.09,2.69,10.2,Moderate
516,Fresh,1,29.28,66.74,6,30.26,2.88,10.05,Low
456,Fresh,1,27.89,34.09,8,28.22,2.56,10.55,Moderate
497,Refrigerated,1,15,48.42,8,43.1,2.29,12.4,Low
575,Refrigerated,1,23.74,65.97,3,17.29,2.13,11.54,High
511,Refrigerated,1,28.86,38.73,2,29.93,2.19,10.75,Moderate
503,Fresh,1,30.36,7.69,9,26.74,2.27,11.56,Moderate
556,Refrigerated,1,33.47,91.94,3,21.92,1.97,12.36,Low
565,Refrigerated,1,19.27,96.17,9,42.27,2.38,12.86,Moderate
518,Refrigerated,1,21.8,52.7,6,23.6,1.08,14.45,Low
586,Fresh,1,18.11,33.04,7,43.6,3.54,13.66,Moderate
502,Fresh,1,21.2,9.43,4,47.87,3.81,13.76,Low
488,Fresh,1,18.8,17.85,9,12.63,4.31,9.89,High
470,Fresh,1,15.12,68.15,5,46.1,2.84,8.24,Low
528,Fresh,1,33.19,54.16,9,9.18,2.75,9.68,Low
476,Refrigerated,1,27.53,59.6,3,26.54,1.5,10.15,Low
535,Refrigerated,1,27.47,65.48,4,14.71,2.91,10.44,Low
561,Fresh,1,34.24,77.95,6,32.42,3.76,13.98,Moderate
543,Refrigerated,1,16.92,81.87,7,24.37,4.87,12.81,Low
579,Fresh,1,33.38,55.4,1,30.69,5,9.17,Low
568,Fresh,1,22.37,36.46,5,23.85,4.4,9.5,Low
563,Refrigerated,1,29.01,53.67,3,39.37,4.1,11.27,Low
527,Fresh,1,23.38,8.41,9,8.53,3.37,14.64,Moderate
508,Refrigerated,1,16.19,8.76,7,23.55,3.63,10.57,High
507,Fresh,1,30.7,60.02,8,14.38,3.55,14.63,High
452,Refrigerated,1,19.71,53.16,8,26.05,1.81,8.43,Low
536,Fresh,1,24.81,47.55,10,7.72,2.48,11.42,Low
563,Fresh,1,24.91,79.56,8,14.77,3.46,14.09,Moderate
478,Refrigerated,1,23.12,74.84,6,34.75,2.34,13.61,Moderate
454,Refrigerated,1,30.3,93.16,10,21.61,2.91,14.4,Moderate
479,Fresh,1,18.14,86.61,3,10.84,2.57,10.61,Low
571,Refrigerated,1,27.59,20.93,1,43.2,3.56,9.39,Moderate
547,Fresh,1,31.6,27.22,10,5.6,1.94,10.65,Low
537,Refrigerated,1,21.58,79.8,6,21.89,3.29,13.23,High
509,Fresh,1,31.89,21.37,1,38.03,3.98,13.64,Moderate
467,Fresh,1,17.22,71.76,2,34.47,4.79,9.28,High
511,Fresh,1,21.92,33.05,10,45.67,1.72,12.68,Low
564,Refrigerated,1,15,99.46,1,45.42,4.04,11.64,Moderate
561,Fresh,1,24.67,20.31,1,39,4.96,14.66,Moderate
466,Refrigerated,1,23.71,26.8,9,23.61,3.59,12.28,Moderate
488,Refrigerated,1,25.06,76.42,2,26.5,1.1,12.68,Moderate
450,Refrigerated,1,22.19,34.34,5,47.23,2.71,8.73,Moderate
477,Refrigerated,1,28.27,13.9,2,25.71,3.75,11.77,Low
592,Fresh,1,19.03,72.69,6,37.28,2.65,13.6,Moderate
597,Fresh,1,25.3,10.64,9,45.54,2.96,10.9,Moderate
463,Fresh,1,19.71,70.28,5,22.66,2.15,14.92,Low
545,Fresh,1,34.06,93.38,7,28.32,2.31,12.01,High
522,Fresh,1,19.13,88.51,3,42.3,2.75,14.93,Low
451,Fresh,1,16.14,75.8,7,25.41,3.28,14.43,Low
492,Refrigerated,1,16.76,38.62,2,40.78,2.75,8.98,Moderate
486,Fresh,1,23.11,97.22,10,39.83,2.82,14.99,Low
463,Fresh,1,18.86,17.57,5,48,2.52,14.7,Moderate
566,Refrigerated,1,34.17,65.69,5,47.32,1.47,10.37,Moderate
453,Fresh,1,34.1,90.18,2,40.28,4.05,13.59,Low
538,Fresh,1,17.39,75.77,2,40.18,4.89,12.33,Low
497,Fresh,1,23.82,16.23,3,42.69,3.42,12.35,High
518,Fresh,1,26.15,97.35,2,21.51,3.4,13.62,Moderate
599,Fresh,1,27.16,58.54,4,32.13,3.31,8.82,Low
521,Fresh,1,20.5,74.25,5,41.59,1.11,12.77,Moderate
584,Fresh,1,33.83,43.96,7,49.4,2.68,11.79,Low
494,Refrigerated,1,34.68,7.77,9,36.77,4.04,12.26,Low
456,Refrigerated,1,27.56,86.95,7,5.37,3.77,13.31,Low
541,Refrigerated,1,28.4,51.29,2,29.4,2.03,14.24,Moderate
473,Fresh,1,26.81,57.09,10,24.38,1.49,13.53,Low
584,Refrigerated,1,30.99,4.99,2,22.27,3.21,13.26,Moderate
467,Refrigerated,1,32.47,73.41,5,26.79,1.71,13.55,Low
527,Refrigerated,1,31.83,35.29,9,10.7,1.12,12.76,Low
538,Fresh,1,24.65,85.62,2,16.31,4.26,14.8,Moderate
486,Fresh,1,29.1,19.53,9,38.3,4.88,9.81,Moderate
557,Fresh,1,31.15,32.11,7,49.21,2.88,11.28,Moderate
588,Fresh,1,15.73,4.95,9,21.61,4.15,10.24,Moderate
580,Refrigerated,1,29.01,87.1,7,14,2.49,14.49,Moderate
484,Fresh,1,28.73,38.87,4,43.97,2.79,14.21,Low
501,Fresh,1,22.51,81.16,6,37.46,3.75,12.06,High
453,Fresh,1,17.84,98.7,1,6.08,4.47,14.73,Moderate
450,Fresh,1,25.51,19.33,10,21.72,1.74,8.15,Low
488,Refrigerated,1,22.86,28.49,6,38.74,2.94,10.46,Low
461,Refrigerated,1,16.25,81.37,9,41.25,4.58,14.03,Moderate
518,Refrigerated,1,27.36,12.92,4,14.28,1.13,14.81,Low
595,Refrigerated,1,17.63,55.56,8,6.26,1.01,11.16,High
586,Refrigerated,1,22.66,38.96,3,49.04,3.05,13.37,Low
527,Refrigerated,1,25.03,94.08,4,26.23,3.45,10.3,Low
537,Fresh,1,28.66,58.81,7,32.47,3.01,13.83,Moderate
565,Refrigerated,1,15.88,73.96,7,11.32,1.62,12.65,Moderate
501,Fresh,1,29.1,54.11,9,14.94,1.79,8.19,Low
544,Fresh,1,25.14,23.48,4,6.38,4.81,9.27,Low
556,Refrigerated,1,25.74,14.76,3,41.33,1.25,10.96,Low
485,Fresh,1,27.35,28,6,30.72,1.15,8.46,Moderate
588,Refrigerated,1,18.78,80.79,9,32.31,1.86,9.09,Moderate
571,Fresh,1,20.57,46.33,5,10.65,4.55,13.4,Moderate
520,Refrigerated,1,20.78,4.79,9,44.42,3.35,8.42,Low
579,Refrigerated,1,29.91,56.7,8,46.27,3.78,13.36,Low
533,Refrigerated,1,30.56,57.01,1,23.42,2.42,13.6,High
561,Fresh,1,32.37,34.96,4,21.67,1.59,9.97,Moderate
536,Fresh,1,31,60.79,3,15.05,3.59,14.71,Low
596,Fresh,1,22.13,7,7,16.1,2.29,10.8,Moderate
568,Fresh,1,24.79,64.53,7,5.22,3.95,14.7,Moderate
518,Refrigerated,1,33.85,1.41,5,38.18,3.67,13.12,Low
593,Refrigerated,1,24.49,76.14,1,49.55,2.41,14.59,Low
565,Fresh,1,21.09,94.23,7,25.28,4.32,13.29,Moderate
588,Fresh,1,16.62,1.7,1,45.08,4.83,10.6,Moderate
550,Fresh,1,28.97,54.12,8,39.95,4.37,13.68,High
476,Fresh,1,23.91,14.53,3,7.81,1.37,11.85,Low
560,Refrigerated,1,34.49,5.92,10,32.69,4.87,13.54,Low
599,Fresh,1,22.82,81.92,8,25.75,2.74,14.77,Moderate
546,Fresh,1,26.65,57.81,3,18.26,1.64,13.94,Low
514,Refrigerated,1,24.56,27.59,1,31.3,2.48,14.14,High
493,Fresh,1,28.62,92.93,9,25.96,1.34,8.07,Moderate
536,Fresh,1,28.52,52.47,2,46.19,2.88,13.11,Moderate
539,Fresh,1,32.42,40.92,6,8.17,4.66,10.67,High
551,Refrigerated,1,26.48,10.62,1,46.52,2.76,10.98,High
469,Fresh,1,19.5,32.67,8,31.3,3.52,11.34,Moderate
484,Refrigerated,1,24.67,71.8,2,47.45,3.8,15,Low
566,Fresh,1,17.03,31.01,2,33.97,3.28,11.9,Low
469,Refrigerated,1,28.68,8.01,4,9.5,2.57,13.67,Moderate
585,Fresh,1,20.58,51.37,4,20.58,1.48,13.58,High
503,Fresh,1,16.83,33.62,9,42.76,4.1,14.81,Moderate
568,Fresh,1,21.03,66.84,4,25.86,1.75,13.74,Low
490,Refrigerated,1,23.64,85.13,4,40.12,1.23,8.98,High
584,Refrigerated,1,18.71,28.78,6,14.81,1.79,12.86,High
462,Fresh,1,23.17,27.13,6,25.24,4.73,8.21,Moderate
469,Fresh,1,28.99,46.29,4,49.08,4.85,12.62,Low
592,Fresh,1,30.22,73.75,3,46.82,4.96,14.36,High
550,Fresh,1,27.26,64.78,7,42.67,4.29,9.41,Low
516,Refrigerated,1,16.97,49.92,5,28.46,1.19,14.78,High
491,Refrigerated,1,22.78,55.41,7,41.56,3,9.48,Moderate
557,Refrigerated,1,34,1.4,5,19.85,3.56,11.81,Low
475,Fresh,1,17.74,3.62,1,11.23,3.67,14.76,Low
508,Fresh,1,17.91,32.25,7,20.02,2.43,12.83,High
484,Refrigerated,1,34.78,3.03,6,8.2,2.93,13.05,Low
469,Fresh,1,30.44,81.52,4,11.97,2.93,10.18,High
501,Fresh,1,26.45,80.89,7,49.63,1.47,9.59,Low
540,Fresh,1,25.4,89.81,9,34.57,2.89,13.28,Moderate
473,Refrigerated,1,19.93,49.4,9,10.29,1.43,13.94,Low
540,Fresh,1,25.06,28.78,4,44.73,1.07,9.45,Low
557,Fresh,1,19.54,4.39,9,16.98,4.81,8.19,Moderate
484,Fresh,1,24.7,75.07,10,18.19,4.46,12.36,Low
534,Refrigerated,1,15.34,16,9,10.37,3.97,12.24,Low
496,Refrigerated,1,19.77,90.75,10,21.36,3.53,14.14,Moderate
547,Fresh,1,23.98,18.86,2,46.1,2.62,11.32,Low
512,Refrigerated,1,24.16,30.03,6,27.71,2.49,13.96,Low
534,Fresh,1,33.39,51.22,1,6.01,4.99,9.07,Low
482,Fresh,1,15.5,69.96,7,21.91,3.49,13.39,Moderate
577,Fresh,1,28.45,50.14,4,44.57,3.58,13.84,Moderate
496,Fresh,1,27.65,76.77,8,44.17,4.33,8.1,Moderate
570,Fresh,1,34.63,6.24,10,12.11,4.73,13.62,Moderate
575,Refrigerated,1,22.87,49.36,4,48.37,4.83,13.38,Moderate
585,Fresh,1,16.9,3.9,4,47.76,4.81,10.4,High
466,Fresh,1,21.07,69.71,2,26.67,1.05,11.44,Low
483,Refrigerated,1,22.35,33.53,10,34.08,3.62,11.79,Moderate
545,Refrigerated,1,24.14,61.74,8,20.38,2.74,14.9,Low
590,Fresh,1,22.78,92.29,5,43.42,1.74,10.79,High
513,Refrigerated,1,28.51,29.62,7,49.21,1.38,9.67,Low
574,Refrigerated,1,19.91,21.24,2,36.05,3.58,9.41,Moderate
550,Fresh,1,30.4,12.64,8,39.52,3.57,14.25,High
570,Fresh,1,23.42,79.91,1,34.47,2.22,10.42,Low
461,Refrigerated,1,27.32,22.72,8,41.76,4.03,13.95,Moderate
522,Fresh,1,22.39,91.67,2,34.02,2.05,8.47,High
545,Fresh,1,33.02,55.15,8,10.13,2.86,8.5,High
469,Refrigerated,1,30.5,11.62,10,13.44,4.74,11.27,Low
518,Refrigerated,1,26.04,56.39,2,31,3.9,10.93,Moderate
493,Fresh,1,30.31,1.1,9,49.09,3.94,9.17,High
563,Fresh,1,25.97,36.71,8,14.37,4.41,11.91,Low
544,Refrigerated,1,20.44,56.04,9,23.86,4.34,11.56,Moderate
459,Fresh,1,21.28,61.11,6,15.86,3.92,8.81,Moderate
475,Refrigerated,1,34.97,1.8,4,44.62,1.83,13.56,Moderate
451,Fresh,1,26.75,12.73,1,28.72,2.42,13.46,Moderate
516,Refrigerated,1,21.55,1.03,3,15.65,1.37,10.25,Moderate
553,Fresh,1,15.51,91.85,9,19.14,2.28,8.5,Moderate
580,Refrigerated,1,34.13,86.63,5,20.81,1.94,10.43,Moderate
502,Fresh,1,22.81,79.67,2,46.12,3.2,12.16,Low
534,Refrigerated,1,18.7,92.19,8,39.42,1.01,9.18,Low
481,Refrigerated,1,20.01,52.13,6,21.43,4.53,11.73,Low
458,Fresh,1,26.26,29.66,6,34.96,1.2,9.18,High
523,Refrigerated,1,29.49,38.76,7,38.18,3.75,13.09,High
471,Fresh,1,27.08,83.85,8,46.26,4.01,14.45,High
538,Refrigerated,1,34.85,9.44,9,10.89,4.55,14.48,Low
531,Fresh,1,24.6,35.57,3,49.26,3.72,14.65,Low
496,Refrigerated,1,26.46,29.73,10,20.27,2.66,14.39,Moderate
479,Fresh,1,30.19,42.01,2,33.58,1.34,14.61,High
520,Fresh,1,27.71,15,10,17.41,1.22,14.35,Low
479,Fresh,1,30.62,47.74,7,34.79,2.39,9.32,Moderate
459,Refrigerated,1,22.95,11.92,8,28.91,2.17,13.03,Moderate
564,Fresh,1,16.98,42.25,8,6.15,3.18,12.18,Low
488,Refrigerated,1,18.17,20.46,4,6.02,1.48,11.3,Low
452,Refrigerated,1,20.05,11.14,3,39.5,2.39,13.22,Moderate
453,Fresh,1,30.18,94.99,1,35.79,1.93,9.84,Low
496,Fresh,1,24.08,34.67,9,41.79,2.94,13.7,Moderate
560,Refrigerated,1,32.06,86,9,36.87,4.11,9.69,Moderate
556,Refrigerated,1,26.02,60.87,2,40.36,4.09,10.81,Moderate
460,Fresh,1,23.02,98.44,6,42.51,1.8,11.46,Moderate
507,Fresh,1,17.27,9.48,8,43.49,2.57,8.68,Moderate
492,Fresh,1,32.34,48.86,10,21.88,2.52,13.63,Moderate
452,Refrigerated,1,31.37,73.2,8,9.52,4.58,14.2,Moderate
532,Fresh,1,25.68,89.16,1,16.87,1.32,10.96,Low
589,Fresh,1,24.1,0.41,2,15.55,2.61,11.65,Moderate
453,Refrigerated,1,20.07,29.46,2,7.28,2.45,11.72,Low
505,Refrigerated,1,19.1,52.15,8,27.26,1.93,8.95,Low
591,Refrigerated,1,24.42,77.81,7,18.49,1.37,9,Moderate
455,Refrigerated,1,29.39,60.28,8,41.96,3.75,11.53,Moderate
455,Refrigerated,1,29.13,83.3,2,23.1,3.77,14.99,Low
532,Fresh,1,18.62,73.31,10,47.69,2.29,8.21,Moderate
